Information Technology (IT) system,A system that processes stores and transfers information.
Flash,Adobe's platform for interactive web applications.
Silverlight,Microsoft's platform for rich internet applications.
Java,Full-featured programming language for web applications.
Client-side Scripting,Code running in the browser to modify web pages.
Extensions,Browser features adding new functionalities.
Plug-ins,Software enabling multimedia content playback in browsers.
Themes,Custom visual styles for browser appearance.
Cookies,Text files storing user session information.
First-party Cookies,Cookies created by the website you visit.
Third-party Cookies,Cookies created by external domains.
Personally Identifiable Information (PII),Data that can identify an individual user.
Pop-up Windows,Sub-windows appearing over the main browser window.
Asymmetric Encryption,Uses public key for encryption private key for decryption.
Certificate Authority (CA),Third-party validating server identities.
Public Key Infrastructure (PKI),System for managing digital certificates.
Firewall,Security system controlling network traffic access.
Packet Filtering,Basic firewall method filtering network data packets.
Stateful Inspection,Advanced firewall analyzing network packet contents.
Hardware Firewall,Dedicated device with firewall functionality.
Software Firewall,Application-based firewall installed on devices.
Simple Host Firewall,Personal firewall protecting individual computers.
Proxy Server,Intermediary server managing client requests to the internet.
Direct Attached Storage,Storage directly connected to a computer.
Peer-to-Peer,Network model where workstations share resources directly.
Network Attached Storage (NAS),Storage device connected to a network for file sharing.
Network Printer Sharing,Sharing a printer over a network.
Windows Printer Sharing,Sharing locally installed printers via Windows settings.
Hardware Print Server,Device allowing networked printer connections without a PC.
