Cellular energy (ATP),Energy produced by mitochondria that is used by ribosomes to produce proteins.
Photosynthesis,The process carried out by chloroplasts to convert light energy into chemical energy.
Nucleus,The leader of the eukaryotic cell that contains DNA and controls most cell processes.
RNA molecules,Molecules that carry instructions from DNA out of the nucleus to ribosomes for protein synthesis.
Cytosol,The fluid component of the cytoplasm where organelles are suspended.
Genetic material,The DNA contained within the nucleus that provides the instructions for making proteins.
Homeostasis,The process by which cells maintain a stable internal environment.
Enzymes,Proteins produced by ribosomes that catalyze chemical reactions including those in mitochondria.
Differences between plant and animal cells,Plant cells have a cell wall and large central vacuole while animal cells do not.
Similarities between plant and animal cells,Both have a cell membrane & nucleus and mitochondria.
Rough ER,ER that is dotted with ribosomes
Smooth ER,That portion of the endoplasmic reticulum that is free of ribosomes and makes lipids
Endoplasmic Reticulum,A cell structure that forms a maze of passageways in which proteins and other materials are carried from one part of the cell to another.
Cell membrane,thin flexible barrier around a cell; regulates what enters and leaves the cell
Cytoplasm,A jellylike fluid inside the cell in which the organelles are suspended
Golgi apparatus,stack of membranes in the cell that modifies & sorts and packages proteins from the endoplasmic reticulum
Euglena,Unicellular organism Protists; moves using its flagella; lives in ponds and puddles; animal-like and plant-like protists
Amoeba,Unicellular organism Protists; moves using pseudopods; lives in ponds & puddles and inside people; animal-like protist
Paramecium,A ciliated (it propels itself via cilia) protist that lives in fresh water and eats other tiny organisms for food.
Oral groove,where a paramecium takes in food
Contractile Vacuole,pump water out of cell
Pseudopods,A "false foot" or temporary bulge of cytoplasm used for feeding and movement in some protozoans.
Prokaryotic cells,Simple cells of organisms like bacteria that lack internal membranes.
Eukaryotic cells,More complex cells that make up protists & plants & fungi and animals containing compartments with specialized functions.
Lysosomes,Compartments that act as recycling centers for the cell containing a solution that must maintain an acidic pH to dispose of cellular waste.
Membrane-bound nucleus,A central cavity surrounded by membrane that houses the cell's genetic material.
Membrane-bound organelles,Compartments with specialized functions that float in the cytosol of eukaryotic cells.
Multiple linear chromosomes,The characteristic of eukaryotic cells as opposed to the single circular chromosome of a prokaryote.
Energy balance,One of the important roles played by organelles in eukaryotic cells.
Metabolism,A key function of organelles in eukaryotic cells.
Gene expression,An important role played by organelles in eukaryotic cells.
Nucleus,The leader of the eukaryotic cell that contains DNA which has the directions for making proteins.
Ribosomes,Sites where the cell produces proteins according to the directions of DNA located in the cytoplasm.
RNA molecules,Molecules that carry instructions from DNA out of the nucleus to ribosomes.
Mitochondria,Oval-shaped organelles with two membranes that produce cellular energy (ATP) by breaking down food molecules.
Cristae,Folds in the inner membrane of mitochondria that increase surface area for chemical reactions.
Mitochondrial matrix,The compartment enclosed by the inner membrane of mitochondria containing mitochondrial DNA and ribosomes.
Chloroplast,Disc-shaped organelles found in plants and photosynthetic algae that carry out photosynthesis.
Stroma,The jelly-like structure filling the intermembrane space of chloroplasts containing DNA and ribosomes.
Vacuole,A membrane-bound compartment in plant cells that stores food & enzymes and other materials needed by the cell.
Cell sap,The liquid contained within the vacuole of plant cells.
Homeostasis,The process maintained by contractile vacuoles in unicellular organisms like paramecium by pumping excess water out of the cell.
Cell membrane,A structure that surrounds the cytoplasm in both plant and animal cells.
Nucleus,An organelle present in both plant and animal cells.
Mitochondria,Organelles present in both plant and animal cells.
Plant cells,Cells that are relatively larger in size have a regular shape and contain a cell wall.
Animal cells,Cells that are relatively smaller in size & have an irregular shape and do not have a cell wall.
Vacuole in animal cells,Typically small or absent compared to the large central vacuole in plant cells.
Food storage in animal cells,Glycogen is used for food storage.
Food storage in plant cells,Starch is used for food storage.
Nucleus position in animal cells,Located at the center of the cell.
Nucleus position in plant cells,Located near the cell wall.
ABO Blood Types,Four main blood types: A & B & AB & O.
Universal Donor,Blood type O can donate to all types.
Universal Acceptor,Blood type AB can receive from all types.
Homeostasis,Internal balance maintained by living cells.
Plasma Membrane,Cell membrane regulating entry and exit.
Selective Permeability,Membrane allows some molecules blocks others.
Phospholipid Bilayer,Two layers of phospholipids forming cell membrane.
Phospholipid Structure,Glycerol & two fatty acids & phosphate group.
Hydrophilic Head,Polar phosphate head interacts with water.
Hydrophobic Tails,Fatty acid tails avoid water interaction.
Transport Proteins,Proteins forming channels for molecule passage.
Glycoproteins,Proteins bound to carbohydrates on cell surface.
Glycolipids,Lipids bound to carbohydrates on cell surface.
Carbohydrate Chains,Identification markers on cell membranes.
Cholesterol Function,Regulates membrane fluidity at varying temperatures.
Membrane Fluidity,Cholesterol maintains fluidity under temperature changes.
Cellular Recognition,Cells identify each other via carbohydrate chains.
Cell Protection,Plasma membrane acts as a barrier.
Nutrient Transport,Plasma membrane controls nutrient entry into cells.
Waste Removal,Excess substances exit through plasma membrane.
Cell Support,Plasma membrane provides structural support.
